id,id decl,Produit,Déclinaison,Catégorie,Marque,Fournisseur,Stock,Vendus 60j,Trans. en cours,Stock Rabat Kbibat,15 j Rabat Kbibat,30 j Rabat Kbibat,60 j Rabat Kbibat,Alerte Rabat Kbibat,Ecart Rabat Kbibat,Stock Mycig Meknes,15 j Mycig Meknes,30 j Mycig Meknes,60 j Mycig Meknes,Alerte Mycig Meknes,Ecart Mycig Meknes,Stock Casa Bourgogne,15 j Casa Bourgogne,30 j Casa Bourgogne,60 j Casa Bourgogne,Alerte Casa Bourgogne,Ecart Casa Bourgogne,Stock Rabat Hay Riad,15 j Rabat Hay Riad,30 j Rabat Hay Riad,60 j Rabat Hay Riad,Alerte Rabat Hay Riad,Ecart Rabat Hay Riad,Stock Fes,15 j Fes,30 j Fes,60 j Fes,Alerte Fes,Ecart Fes,Stock Casa Idriss-1er,15 j Casa Idriss-1er,30 j Casa Idriss-1er,60 j Casa Idriss-1er,Alerte Casa Idriss-1er,Ecart Casa Idriss-1er,Stock Stock central,15 j Stock central,30 j Stock central,60 j Stock central,Alerte Stock central,Ecart Stock central,Stock B2B,15 j B2B,30 j B2B,60 j B2B,Alerte B2B,Ecart B2B,Stock Mega mall,15 j Mega mall,30 j Mega mall,60 j Mega mall,Alerte Mega mall,Ecart Mega mall,Stock Agadir,15 j Agadir,30 j Agadir,60 j Agadir,Alerte Agadir,Ecart Agadir,Stock Ecommerce,15 j Ecommerce,30 j Ecommerce,60 j Ecommerce,Alerte Ecommerce,Ecart Ecommerce,Stock Marrakech,15 j Marrakech,30 j Marrakech,60 j Marrakech,Alerte Marrakech,Ecart Marrakech,IdPro
2764,3,Pod Jetable Wenax M1,"0,15ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27643
2764,2,Pod Jetable Wenax M1,"0,25ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27642
2764,1,Pod Jetable Wenax M1,"0,3ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27641
2764,20,Pod Jetable Wenax M1,"0,4ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276420
2764,4,Pod Jetable Wenax M1,"0,5ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27644
2764,18,Pod Jetable Wenax M1,"0,6ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276418
2764,21,Pod Jetable Wenax M1,"0,7ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276421
2764,5,Pod Jetable Wenax M1,"0,75ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27645
2764,22,Pod Jetable Wenax M1,"0,8ohms",Résistances,Geekvape,Geekvape,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276422
2764,6,Pod Jetable Wenax M1,1ohms,Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27646
2764,7,Pod Jetable Wenax M1,"1,2ohms",Résistances,Geekvape,Geekvape,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27647
2764,8,Pod Jetable Wenax M1,"1,5ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27648
2764,17,Pod Jetable Wenax M1,"1,6ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276417
2764,9,Pod Jetable Wenax M1,"1,8ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27649
2764,12,Pod Jetable Wenax M1,"Clapton 0,5ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276412
2764,13,Pod Jetable Wenax M1,"Ceramic 0,5ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276413
2764,23,Pod Jetable Wenax M1,"0,2ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276423
2764,24,Pod Jetable Wenax M1,"1,4ohms",Résistances,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276424
2763,1,Kit Wenax M1 Geekvape,Chrome,Pods,Geekvape,Geekvape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27631
